SN,Text ID,Text,SEN,HAO,POL,PGS,FT,EYE,HBF,FR,EMP,BF,SW,DO
17,bb309d5834ed498d,पनौती हो यो प्रचण्डे नेपालको लागी,1,1,1,0,0,0,0,0,0,0,0,1
18,38b853ea168a46dc,पनौती,1,1,0,0,0,0,0,0,0,0,0,1
19,e1ffa9b4629a4f5d,nepal ko pahilo choti हो तस्म गल्ती त भाइ हल्स नि सर,2,0,0,0,0,0,0,0,0,0,0,1
20,e2e1938c03824ef6,धन्यवाद प्रचण्ड सरकार,2,0,1,1,0,0,0,0,0,0,0,0
21,335fbbeedaf340d1,राम्रो गर्नुस् देश तपाईहरुको साथमा छशुभकामना नेपाली टिम,2,0,0,0,0,0,0,0,0,0,0,1
22,c17196818a754f09,खेलमा हार जित भै हाल्छ फर्का नेपाली टिम अब UAE लाई जित्नु पर्छ,2,0,0,0,0,0,0,0,0,0,0,1
23,a9de04fe2f9b46c3,पनौती आए पछि,1,1,0,0,0,0,0,0,0,0,0,1
24,7b22af31ced14e7e,प्रतिस्पर्धामा अनुभवको ठुलो महत्व हुन्छ नम्बर टिमसँग नम्बर टिमले पहिलो पटक खेलेको हो यो अनुभव कुनै दिन इतिहास लेख्न काम लाग्नेछ यात्रा लामो छ,2,0,0,0,0,0,0,0,0,0,0,1
25,5fd39bf5020f467c,सुभे सुभे पनौती,1,1,0,0,0,0,0,0,0,0,0,1
26,5a1e5cd67c584479,तोरी लगाएको प्रचण्ड ले हो,1,1,1,0,0,0,0,0,0,0,0,1
27,9e514c5660d64274,सब ठीक छ नतिजा भने,1,0,0,0,0,0,0,0,0,0,0,1
28,0bb8e1cd7786442e,येति saport गर्नु भनेको ठुलो कुरा हो,2,0,0,0,0,0,0,0,0,0,0,1
29,d42038a778ee43ae,नेपालले हार्नुको खाश कारण यहि यो,1,0,0,0,0,0,0,0,0,0,0,1
30,e3997335a047435d,सिङ्गै देश साथ मा पो,0,0,0,0,0,0,0,0,0,0,0,1
31,8aab748bff1c432f,नालाएक,1,1,0,0,0,0,0,0,0,0,0,1
32,88c4d0aab6db4b5b,बाबु प्रचण्ड के छ खबर धेरै पछि देखे त,0,0,0,0,0,0,0,0,0,0,0,1
33,cebd0cb9a6d84fb3,राम्रो कुरा लाई समर्थन गरौँ साथीहरु खेलाडी को मनोबल बढाएको मा धन्यवाद प्रधानमन्त्री ज्यू अनि शुभकामना नेपाली क्रिकेट टिमलाई,2,0,1,0,0,0,0,0,0,0,0,1
34,af020387f15f4828,best of luck भने र काहाँ हुछ नेपालमा stadium छैन खेलाडी को कुनै plateform छैन के को best of luck देश बेचुवाहरु,1,1,1,0,0,0,0,0,0,0,0,1
35,3975351799444751,यो हो नि त सरकार भनेको,2,0,1,0,0,0,0,0,0,0,0,1
36,fb94a79cd5c540d1,तपाईंहरु को टिम भन्ने कि हाम्रो टिम भन्ने हो,0,0,0,0,0,0,0,0,0,0,0,1
37,c8700ca6ff5f4aeb,मेरो परिवार लाई पनि म यस्तै भन्ने गर्छु तर के गर्नु पैसा नै छैनसाथमा छ त भन्ने मात्रै रैछ,1,0,0,0,0,0,0,0,0,0,0,1
38,d42241653a99481d,यो रागाँ को बाउ यो बोल्यो अब केही न राम्रो हुन्छ,1,1,0,0,0,0,0,0,0,0,0,1
39,d1e616b6215343f6,म साथ मा छैन है म यतै घर तिरै छु,1,0,0,0,0,0,0,0,0,0,0,1
40,adcc832734e441af,अब इन्डिया नेपाल सङ्ग को खेल मा पनौती लाउने होइन नालायक,1,1,0,0,0,0,0,0,0,0,0,1
41,b2b2bfe2e3474dc7,पनौतिले गर्दा आज बिग्र्यो,1,1,0,0,0,0,0,0,0,0,0,1
42,436631bcad6d4055,पनाैति लगो अब,1,1,0,0,0,0,0,0,0,0,0,1
43,7a89a7520b684b14,पापी हरूको फोन त काटदिय नी हुन्थ्यो त जाबो एउटा रंगसाला बनाउन नसक्ने ले जीत को अग्रिम सुभ कामना दिन लाज लाग्न पर्ने हो चोर देश बेचूवा लाई,1,1,1,0,0,0,0,0,0,0,0,1
44,0745b6cedd7e4469,पोइला राम्रो ग्राउन्ड बनाऊ प्रचण्ड चोर,1,1,1,0,0,0,0,0,0,0,0,1
45,fe8d4860163f43c2,देश र नेपाल सरकार साथमा भए तिम्रो सरकारले खेलकुदमा कत्तिको बजेट हाल्यो,0,0,1,1,0,0,0,0,0,0,0,1
46,d5c45ae3074141ec,राजाले त न्याय नपाएको देश हो यो जन्ता बस्ने बाताबरण नेइ छैन,1,0,1,1,0,0,0,0,0,0,0,0
47,66690077880c4da7,पनौती बुढो,1,1,0,0,0,0,0,0,0,0,0,1
48,5f9b12bf29314530,चोर्चन सरकार,1,1,1,0,0,0,0,0,0,0,0,1
49,eca25995af81405b,एस लाई लाज लाग्नु पर्ने हो केही गर्देको छैन यौटा राम्रो खेल मैदान छैन अझ देश तपाइको साथ मा छ रे,1,1,1,0,0,0,0,0,0,0,0,1
50,71f4bc5be8674c73,यसको अनुहारदेखेरनै नेपाल ले हार्यो sad nesw,1,1,0,0,0,0,0,0,0,0,0,1
51,7fe0a52c292648c5,खाते प्रचण्डे लाइ बोल्न नि लाज लाग्नु पर्ने हो यार,1,1,0,0,0,0,0,0,0,0,0,1
52,8abd8acb49c947cc,यसले जे चिज लाइ छोयो सबै बिगृन छ कस्तो मुलिया जन्मेछ मदर चोद,1,1,0,0,0,0,0,0,0,0,0,1
53,51958f9bbc1f4765,पनौति किन लाग्यो भनेको बल्ल कारण थाहा भो,1,1,0,0,0,0,0,0,0,0,0,1
54,b8bffadc46804676,पनौती मुजि प्रछोन्न,1,1,0,0,0,0,0,0,0,0,0,1
55,77fdbf9b24c848e0,मन मनै भारतले जित्न पर्छ भन्या हेाला यसले,1,0,0,0,0,0,0,0,0,0,0,1
56,db9e52884ed14e87,साथमा छ भनेर मुखले मात्रै बोलेर हुन्छ,1,0,0,0,0,0,0,0,0,0,0,1
57,621ce7fc4dbb4d23,यि बुडा जान्ने भएर लोदर लाग्यो,1,0,0,0,0,0,0,0,0,0,0,1
58,c5d252b769fc4cc3,तेरा लाग्दा हारेको हो नेपाल ले आज,1,0,0,0,0,0,0,0,0,0,0,1
59,396c3b4031aa4e15,पनौति रै छ कि क्या हो खालि देश साथमा छ के को साथमा छ,1,1,1,0,0,0,0,0,0,0,0,1
60,315328f4e1a949ab,सरकाराले घोषणा गरेको रकम नपाएको बर्ष भायो,1,0,1,1,0,0,0,0,0,0,0,1
61,eba8bf7e0acb467d,पनौती मुजि हो प्रचण्ड मुजि,1,1,0,0,0,0,0,0,0,0,0,1
62,fe27cb2ddb7d4a3f,तेरा बा काे गु जस्तो भयाे तैयारी साला पहिला सन्दिप काे केस फाईनल गर पछि best up luck भन मुजि,1,1,1,0,0,0,0,0,0,0,0,1
63,6db51c5638654550,नेपाल ले हार्नुको कारण यो पनि हो है एउटा,1,0,0,0,0,0,0,0,0,0,0,1
64,0c56d3121e3b413e,यसले गर्दा पनौती लागेको हो,1,1,0,0,0,0,0,0,0,0,0,1
65,575980c27e7d4338,यो बुढालाई बन्दुक चलाउन बाहेक अरु केही गर्न आउँदैन कतिन बाठो हुन्छ प्रचण्डले गरेर हारेको,1,0,1,0,0,0,0,0,0,0,0,1
66,6f95fdfd4dde4b50,साले कुकुर ले फोन गरेको भएर हार्ने लगभग पक्का भयो साले कुत्ता देशद्रोहि,1,1,1,0,0,0,0,0,0,0,0,1
67,77d8540ff6c64e6e,तपाई को हैन हाम्रो टिम भन,1,0,0,0,0,0,0,0,0,0,0,1
68,809813f1c2b14be3,याे मुर्दार गाको भए दुईतीनओटा आइमाई नचाइर बेज्जत बनाउँथ्यो होला तर हाम्रो खेलाडीलाई सेक्युरिटी को साथ स्वागत ओहाे,1,1,1,0,0,0,1,0,0,0,0,0
69,1579b85c4f704117,हत्यारा कुकुर भारतिय दलाल,1,1,1,0,0,0,0,0,0,0,0,1
70,d464b9de764940b3,यो खाते मुजि किन बोलेको के खाते पनौति लाग्यो हार्छ अब त,1,1,0,0,0,0,0,0,0,0,0,1
71,2b71192400e447fc,चोर बुढा,1,1,0,0,0,0,0,0,0,0,0,1
72,a043874ac41449c2,खेलेको पैसा कहिले दिने हो तयारी पहिला सोधेन जब खेल्ने बेला भयो बल्ल याद आयो होला,0,0,0,0,0,0,0,0,0,0,0,1
73,32ab0124a1f94775,खेलाडीको लागि केही गर्नु चई छैन मूजी खाते हरु,1,1,0,0,0,0,1,0,0,0,0,0
74,b27737aed15545fd,यो एक नम्बर को पनौती हो खेल अगाडि यस्को बोली नसुन्नु अनुहार नहेर्नु सकेसम्म यस्लाइ सम्झने पनि नगर्नु,1,1,0,0,0,0,0,0,0,0,0,1
75,602647d8a1384d86,मुखले ठिक्क पारेको होला यो बड्डोले,0,1,0,0,0,0,0,0,0,0,0,1
76,afc3abeba8734ca0,पनौती छ्या,1,1,0,0,0,0,0,0,0,0,0,1
77,82546372141d408b,खुलकायिस देखेको हो तेरो काम पनि,1,1,0,0,0,0,0,0,0,0,0,1
78,3e5791eeb8904a9c,जन्म कैद पाएको मान्छेले बर्ष सजाए पाएर छुट दिने कानुन बनाउने बिद्वान चिन्नुस,1,1,1,0,0,0,0,0,0,0,0,1
79,8972db3dac624da0,ठुलाेडाकाेलेबाेलेर केहिहुनेवालाछैन जन्ताले कुराबुझिसकेदुख्खगरिमभन्दैमा देशटाटपार्नपनईदैन,1,1,1,0,0,0,0,0,0,0,0,1
80,413478d800d549b3,जावो झाक्री को त यत्रो फुर्ति विदेशी लाई दलालि गर्नै नेपालि लाई थर्काउने ल,1,1,0,0,0,0,0,0,0,0,0,1
81,a56d755d79924b81,एझाठिनेपालिजन्तालेपन्छाइसकेकोपाटिहौउअबमाथिउठ्नधेरैकोशिसगर्नपर्छतिमिहरुपन्छाइसकेकोनेताहरुमापर्छौरस्साकोलेलिनलेनेपाल देखेन जर्मनकोमाक्सलेनीनेपालदेखेनन,1,1,1,1,0,0,0,0,0,0,0,1
82,9aa1aa3edd54448e,तिमिहरु ज्युँदो भएर के गरेका छौ जनताले के पाएका छन तिमिहरु बाँचेर तिमिहरु ज्युँदो हुनु र मर्नुले जनतालाई केहि फरक पर्दैन,1,1,1,0,0,0,0,0,0,0,0,1
83,993107201ec9407f,अरूले चुनाब जित्दैमा फल्टछ भन्न मिल्छ,0,0,1,0,0,0,0,0,0,0,0,1
84,8abfb68d17fd44a0,यी दलालहरुला गाजामा लगेर छोडिदिनु पर्ने,1,1,1,0,0,0,0,0,0,0,0,1
85,2f1a07b2ba6c4ea8,हेर यीनका रुवा बासी चलेको काम गर्नी केही होइन,1,0,0,0,0,0,0,0,0,0,0,1
86,4af7207fb63f462d,कुकुर दलाल हरु,1,1,0,0,0,0,0,0,0,0,0,1
87,b91e1767aa0e4668,यिनिहरुले दशै नै खल्लाे बनाए छिटाे आफ्नाे बाटाे लागे हुने,1,0,1,1,0,0,0,0,0,0,0,1
88,f09593d3b260482e,हारुवा गोरुको छेरुवा दाउ,0,0,0,0,0,0,0,0,0,0,0,1
89,13e41559210d4386,चोरहरु RIP,1,1,0,0,0,0,0,0,0,0,0,1
90,4267337a5c3a4197,Thapaनेपालको कुकुर गधा लाई हारवड मा डिग्री दिलाए पनि भुक्ने र गर्ने काम भने को एउटै हो,0,1,0,0,0,1,0,0,0,0,0,0
91,6da3f65cc3bb4f54,मान्छे को नाम के रैछ,0,0,0,0,0,0,0,0,0,0,0,1
92,efd8180928134264,कला भनेको कला हो,0,0,0,0,0,0,0,0,1,0,0,1
93,1aaf0b0860774f25,बङुर तस्करि,0,0,0,0,0,0,0,0,0,0,0,1
94,0162446548594289,नेता बन्ने योग छ,0,0,1,1,0,0,0,0,0,0,0,0
95,c8f6a331d4c54964,सई गतो,0,0,0,0,0,0,0,0,0,0,0,1
96,184b9cb14f8146ac,चोर लाई ठीक परौ श्रमिक लाई ठग्ने,0,0,0,0,0,0,0,0,0,0,0,1
97,d9a6f1116f3a4a16,पक्कै बाहुन हुनु पर्छ,0,0,0,0,0,0,0,0,0,0,0,1
98,778ddf404db14b5b,ATM भन्ने चिज कति powerful रहेछ देखिस,0,0,0,0,0,0,0,0,0,0,0,1
99,703898512b924a30,हत्कडी त महिला लाई लगाईदेको छौ त,0,0,0,0,0,0,0,0,0,0,0,1
100,83dfa078b79c4c77,नेताकाे परगति भएको छ,2,0,1,1,0,0,0,0,0,0,0,0
101,412a7491614d4d04,नागरीकता त्यागेको लाई नेपाल आउन दिनु हुदैन चोर हरु,1,1,1,1,0,0,0,0,0,0,0,0
102,ef96d3e0f1104de7,देश बनाउने नेपाली ले हो तिमी हरु भगुवा ले बनाउने,0,1,0,0,0,0,0,0,0,0,0,1
103,2aa295f145c34dd3,नेपाली नागरिकता त्यागे पछि तिमी जस्तो नेपाली होइन,1,0,1,1,0,0,0,0,0,0,0,0
104,324b99bfa3934a29,आतंककारी हो यो,1,1,0,1,0,0,0,0,0,0,0,0
105,c0679a1ac8194efa,रामकुमारी झाक्री जि ले तिनिहरुलाई पढाउनु भएको बिषयमा मेरो पनि सहमती छ,2,0,0,1,0,1,0,0,0,0,0,0
106,8c70fe3851e34bb7,एकदमै सही कुरा राम कुमारी झाँक्री,2,0,0,0,0,0,0,0,0,0,0,1
107,3360e0f66d124d4f,सही भन्नु भयो झाँक्री बहिनीले,2,0,0,0,0,0,0,0,0,0,0,1
108,3d3b7997168c44f3,झॉक्री भान्जीको किरा एकदम ठिक छ,2,0,0,0,0,0,0,0,0,0,0,1
109,d29bc17626ee4d20,कती सारो हेपेर बोलेको यस्तो पनि हामीले भोट् दिएर जिताको नेता हुन्छ भोट् माग्ने बेलामा म्याउ म्याउ गर्दै भोट् माग्ने अहिले सोरै सुक्ने गरी गर्जिने,1,1,1,1,0,0,0,0,0,0,0,0
110,1cb6447405324957,नेपाल का नेताहरु डराईसके,1,0,1,1,0,0,0,0,0,0,0,0
111,60a694e0d25e4a1b,नागरिता चै किन त्याग्नु कमाउनु गकाे ले कमाईर आउनु नि नागरिता चै बिदेशि लिले नेपाल मा राजनितिक गर्ने हाे,0,0,1,1,0,1,0,0,0,0,0,0
112,e3d93f434a484084,मुर्ख NRN हरु नगरिकत चाहिन्छ भने रबि जी संग सिक्नु नत्र दूई हात मा लड्डु हुनाई सक्दैन कि छोड कि भागानत्र जनता ले भगाउछ तिमीहरुलाई,0,1,1,1,0,0,0,0,0,0,0,0
113,8d85613cb238401a,तेसो भय कमेन्ट् off गर्दा भै गोनित टेक्नोलोजीको सदुपयोग गर्नुनि तेतिपनी था नहुने धाटिकाे नसानै चुडिने गरि बोल्नै पर्दैन नि,1,0,0,0,0,0,0,0,0,0,0,1
114,4ffc0cb85e1544db,नेपाली नागरिता संग बिदेशी पासपोर्ट सान्ने सबै संसारकै तल्लो लेबलका मान्छे हुन्ईनिहरुले आमा लाई बलात्कार गरेर मारेर फेरि भन्छन्म आमालाई माया गर्छु,1,1,1,1,0,0,0,0,0,0,0,0
115,3d986caefcbb4752,यी मुला NRN हरुलाई के खान नेपाली नागरिकता दिनु पर्यो वाई हात,1,1,1,1,0,0,0,0,0,0,0,0
116,c1ac80bf7c564302,बिदेश बाट बालेन र रबि लाई भोट देउ भनेको ले मगज बुग्रेको,1,0,1,1,0,0,0,0,0,0,0,0
117,f1e4ae6cb4b44424,मलाई पुरस्कार छैन,0,0,0,0,0,0,0,0,0,0,0,1
118,227beff2c9f84305,आज म नराम्रोसँग झुक्किए नि साथिहरु खासमा कुरा के हो भने see more,0,0,0,0,0,0,0,0,0,0,0,1
119,4476983c1b0443d2,म पनि झुक्किए यार,0,0,0,0,0,0,0,0,0,0,0,1
120,3220c813345942fe,भाउजू धर्सन,0,0,0,0,0,0,0,0,0,0,0,1
121,5a210108123741c6,मलाई थाहा थियो यो video हेरेपछी comment हेर्न पक्कै आउछौ भन्ने अब आइ हालेछौ मेरो comment लाई नि like गरेर जाउ,0,0,0,0,0,0,0,0,0,0,0,1
122,206128c135fd4de7,यो खाते रविन्द्रेले रानाको विर्ता सरकारीकरण गर्न सक्छ साला आफू जग्गा हडपेर बस्या छ,1,1,1,1,0,0,0,0,0,0,0,0
123,53642a07cdf94193,NRNA खारेज गर्ने हो सबै झोले परेछ,1,1,1,1,0,0,0,0,0,0,0,0
124,1fcaa69adae940bf,कमा खा लाडाे के भनेकाे मुजि जाने सुख हुदा ठिक दुख हुदा बेठि जाठा,0,1,0,1,0,0,0,0,0,0,0,0
125,aa26c5e4f4d04b89,ठिक हो नेपालका नेता भनौदा गद्दारहरुले बिदेशीन बाध्या पारेको हो,1,1,1,1,0,1,0,0,0,0,0,0
126,34d63efe301c49dd,कलकारखाना बेचिस बेरोजगार बनाईस सधै नेपाल बन्द गराउने गरिस अरु धेरैछ,1,0,1,1,0,1,0,0,0,0,0,0
127,acf01dd2774a44f2,येति खेर दिदी को कुरा मा दम छ,1,0,0,0,0,0,0,0,0,0,0,1
128,970cc483f3fd437e,झाक्रीले ड्रम बजाउनलाई कडा यसरी नै देश बनाउन लागेको भय राम्रो हुने थियो,0,0,1,1,0,0,0,0,0,0,1,0
129,b442232eaded4ade,देश बनाउन लागेकै हुन त तपाईं हरु नदेखेर हो,0,0,1,1,0,0,0,0,0,0,0,0
130,5edec1ed9f1345e6,देशको सम्पत्ति ले ज्ञान लिने सबै परिबरिलाई बिदेश तिनि सकेर सबै सुबिधा हात मै लड्डु,0,0,0,1,1,0,0,0,0,0,0,0
131,a41dd2b2fb3641a6,जय श्री राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम,0,0,0,0,0,0,0,0,0,0,1,0
132,346760e4118448c8,त जाठो अमेरिका गएर खाए हुन्छ त बाहुन लाई किन भन्नू,0,1,0,1,0,0,0,0,0,0,0,0
133,292e4dea3cb4496f,जय श्री राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम,0,0,0,0,0,0,0,0,0,0,1,0
134,d6c9fd4fdad74a73,जय श्री राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम,0,0,0,0,0,0,0,0,0,0,1,0
135,51a25b6c26bb4cef,मेरो आइ तेरो आमाको पोइ हो बुझिस बिहारिको नाजायज फुसी,0,1,0,0,0,0,0,0,0,0,0,1
136,4ae0a071473045df,जय श्री राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम,0,0,0,0,0,0,0,0,0,0,1,0
137,2139712414454beb,क्रिस्चियनको मस्तिष्क मेकअप गरिएको छपागलहरु,1,1,0,1,0,0,0,0,0,0,1,0
138,18860147d48e4eda,नेपालमै बनाउन तिमीलाई कसले रोक्छर नेपाल भन्दा बाहिरको कुरा गरेको होइन नेपाल बहुधार्मिक देश हो यहाँ सबै धर्म लाई सम्मान गर्नु सिक्नु पर्छ,0,0,0,1,0,0,0,0,0,0,1,0
139,e1015bed554a4466,सबै धर्म लाई समान गर्न पर्छ भन्दै मा हिन्दू को बाहुल्यता भएको ठाउँ मा हिन्दू लाई मध्यनजर गरेर हिन्दू ले पुज्नी देवता लाई काटेर त खाना भएन नी,1,0,0,1,1,0,0,0,0,0,1,0
140,56eab8eda28241b3,कसले हिन्दुलाई मध्यनजर गरेको छर उसले खाने चीज हो त्यो खाने चीज उसले खाईहल्छनी सबै कुरा हिन्दुले गरेको मात्र गर्नु पर्छ भन्ने कुरा लेखेको छर,0,0,0,1,1,0,0,0,0,0,1,0
141,300a97bac2af4454,गोरु कुटेर जोत्न मिल्ने काटेर खान नमिल्ने सक्छौ भने राष्ट्रिय जनावरलाई जोत्न मिल्दैन भनेर जुलुस गरान,0,0,1,1,0,0,0,0,0,0,1,0
142,95a0543d67ef459f,aw sabai dailai Thaha Vayara Dailey nai sabai जीवनी पढेर अरूको संस्कृतधर्ममा कुरा गर्नु भएन छवा दाई वा,0,0,0,1,0,0,0,0,0,0,1,0
143,28fd645ea5714df1,बौद्ध त हाम्रो हो निबुद्धको ग्यान लिने हो भनी गाई काटेर खान्छु नै भन्दैनन नियिनिहरुत डलरमा बिकेका क्रिश्चियन हुननेपाली नेपाली फुटाउने,2,1,1,1,0,0,0,0,0,0,1,0
144,fba0a31fd3b249cf,सहि हो,0,0,0,0,0,0,0,0,0,0,0,1
145,6b34dc4bc9db456a,हर्के पास्टरलाई सात समुद्र पार गर्नु पर्छ,1,1,0,0,0,0,0,0,0,0,0,1
146,41c3c1cfbe9946e6,त रन्डीको बान लाई कसले भन्यो हर्क सान्पाडँ क्रिरिस्यन हो भनेर खाते प्र्कीतीत पुजक किराती हो हर्क सामपाड,1,1,0,1,0,0,0,0,0,0,1,0
147,722400fa131b4639,पहिला तेरो सोच बदलि अनि बैनी अनि बोल जे पनि क्रीस्चियन लाई दोश नदे कुरा बुजेर बोल्ने गर समाजी संजाल मा,1,0,0,1,0,0,0,0,0,0,1,0
148,bc7958f9242146bc,साँच्चिकै भन्नुपर्दा हर्क साम्पाङले गर्दा यो देशमा जातिय द्वन्द भैराछ हर्के गतिलो निस्केन,1,0,1,1,0,0,0,0,0,0,1,0
149,c445a46de9fa4b41,कुरा सहि गर्नु भोonly बालेन is best,2,0,0,0,0,0,0,0,0,0,0,1
150,4f45449aa3e848fb,कस्तो नराम्रो बिचार,1,0,0,0,0,0,0,0,0,0,0,1
151,53498d86ece84d95,भुत्रु हर्कले होर तिमिहरु जस्तो अतिबादि सोच भएकाहरुले गर्दा हो,0,0,1,1,0,0,0,0,0,0,0,0
152,1144f7cc45d74f1b,त जस्तो कुकुर ले गर्दा चाई धर्म युद्ध हुन्छ नेपाल मा खाते,1,1,1,1,0,0,0,0,0,0,1,0
153,308529478bf742da,त पक्का बाहुन होस,0,0,0,1,0,0,0,0,0,0,1,0
154,d1acc302f8a74f99,हिजो एउटा भारती आतंककारी आएर नेपाल भारत को एक अंग हो भन्दा कुन दुलोम लुकेर बसेको थियो होला इ मोदीका चमेरो हरु,1,1,1,1,0,0,0,0,0,0,0,0
155,47ca698d56bc4e12,यो गुहुले के भन्न खोजेको होला हौ,1,1,0,0,0,0,0,0,0,0,0,1
156,6c2ff6e3a6af44ac,त रन्डिको छोरालाई था छ माचिक्ने गाईको बाट निस्केको,1,1,0,0,0,0,0,0,0,0,1,0
157,bdb47f2b07334446,हो यस्तो रण्डीको छोरो लाई हो देख्दा रिस उठ्ने,1,1,0,0,0,0,0,0,0,0,0,1
158,47c6c7e76fec48c3,डरायो हैन टपरे हरु बाचे जैले आए नि हुन्छ आउनु चै आउनु परो,1,0,0,0,0,0,0,0,0,0,0,1
159,1f6c349bef9f400d,sorry सुर्यलाई ग्रहणले कहिले पनि धेरै समय सम्म छेक्दैन huge respect harka g from ilam,0,0,0,0,0,0,0,0,0,0,1,0
160,55d20fcaac554348,बोल्न सिक,1,1,0,0,0,0,0,0,0,0,0,1
161,d03ff42e0b1b4ec6,तेरो बाउलाई पनि यस्तै भन्छस गुहेनी,1,1,0,0,0,0,0,1,0,0,0,0
162,bf77d8b574564b5e,भिड्न तयार हो त,0,0,0,1,0,0,0,0,0,0,0,1
163,91e843cf24e741c7,हैन भिड्ने नै हो त दम हेर्न खोजेकै हो,1,0,0,0,0,0,0,0,0,0,0,1
164,f8a2d516ba3b4e12,थुक्क तेरो सोचाइ कुकुर्नी,1,1,0,1,0,0,0,0,0,0,0,1
165,11bed7184e494590,तिमिहरुको चही थुक्का बुजिस,1,0,0,0,0,0,0,0,0,0,0,1
166,8092b74dc3f440d3,नेपालमा हिन्दु बौद्ध मुस्लिम मिलेर बर्षाे देखि मिलेर बसेका थियौ तर जब क्रिश्चियन नामक भाइरल आयो द्वन्द्व सुरुजहाँ इसाई जान्छ त्यहा युद्ध हुन्छ,1,1,1,1,0,0,0,0,0,0,1,0
167,b883faad14694265,नेपाल मात्र हिन्दू र बुद्ध को हो इसाइ र मुसलमानको नेपाल होइन,1,0,0,1,0,0,0,0,0,0,1,0
168,fbca413bff86457a,हर्क डरायो डराउनु नी स्वभाविक नै हो,1,0,0,0,0,0,0,0,0,0,0,1
169,858e01eff9cb41f2,खै डराउनु चै को को डरायो धरान आउने लाई जैले नि आए हुन्छ आउनु चै परो है,0,0,1,1,0,0,0,0,0,0,0,0
170,6904dd99ed7a4dc6,कतिदिन गर्छ्स एक दिन त वार या पार हुन्छ नै हुन्छ याद गरे हुन्छ,1,0,0,1,0,0,0,0,0,0,0,1
171,94612518f53b4f74,समयले देखाउछ सबै अलिक टाइम लाग्छ,0,0,0,0,0,0,0,0,0,0,0,1
172,7e516d1cc2684664,तेरो रियल फेस देखा त किन लुक्छ्स र पछडी बाट भुक्छ्स रियल फोटो र आइडी बाट आइज त,1,1,0,1,0,0,0,0,0,0,0,0
173,4c16a731f78d4f4e,कस्तो फुर्केको हौ टिकटकमादम भए आएर देखाउ धरानमा अनि यस्तै बोल्नु लुरुक्क नहुनु है,1,0,0,1,0,0,0,0,0,0,0,0
174,1b8dc19dcb174121,युद्धमा कसैले भजन जप्दैन,0,0,0,1,0,0,0,0,0,0,1,0
175,9aed2e96f73e46c0,हामिले पनि आफ्नै ठाउमा आएर फुर्किने हरुलाइ अहिले सम्म खाली हात पठाको छैनम नि,1,0,0,1,0,0,0,0,0,0,0,0
176,aebe770c31a541b7,या भुकेर केही हुदैन धरानमा तपाईं एक्लै आउनुस दम भए म पनि एक्लै आउछु अनि कुरा गरौ न त,0,1,0,1,0,0,0,0,0,0,0,0
